Date,Open,High,Low,Close,Volume
2015-01-02,24.71817633026032,24.729272337596463,23.82167345251905,24.261049270629883,212818400
2015-01-05,24.030265339880305,24.11015184940222,23.39117495671791,23.57757568359375,257142000
2015-01-06,23.641921765146805,23.839418440201086,23.21807948278624,23.579788208007812,263188400
2015-01-07,23.788381627754344,24.010288179106578,23.677428352078227,23.910430908203125,160423600
2015-01-08,24.23885389125135,24.886820629369133,24.12124199427357,24.829124450683594,237458000
2015-01-09,25.002216142194985,25.130922376139836,24.456326110960923,24.855758666992188,214798000
2015-01-12,24.986676531782834,24.993333457225084,24.14343267985091,24.243289947509766,198603200
2015-01-13,24.72705053894741,25.03106316625113,24.16784669635183,24.45854377746582,268367600
2015-01-14,24.196695513641078,24.51845940173482,24.076865748230265,24.365345001220703,195826400
2015-01-15,24.409724521146927,24.423038374576155,23.668557334696477,23.70406150817871,240056000
2015-01-16,23.750661438201686,23.872710736727925,23.3445719827557,23.519878387451172,314053200
2015-01-20,23.930403963500748,24.181159473930325,23.633049969024885,24.125682830810547,199599600
2015-01-21,24.176709270808065,24.644932058752993,24.025812803228487,24.30985450744629,194303600
2015-01-22,24.467420834263706,24.95783418992754,24.34759107374211,24.94230079650879,215185600
2015-01-23,24.920110229040706,25.241874100812947,24.749241210117216,25.071006774902344,185859200
2015-01-26,25.23965727104322,25.37723997831194,25.0310662095228,25.097637176513672,222460000
2015-01-27,24.946738775825928,24.96005432265318,24.194475561084744,24.21888542175293,382274800
2015-01-28,26.102872167761888,26.21160761831203,25.588048934936523,25.588048934936523,585908400
2015-01-29,25.812168155485935,26.449040522197077,25.643518714371965,26.384687423706055,337745600
2015-01-30,26.273740817813987,26.62879102622777,25.929784923186702,25.998577117919922,334982000
2015-02-02,26.196073070372567,26.44460736236611,25.758916826474497,26.324777603149414,250956400
2015-02-03,26.295935392693256,26.426859490440915,26.09843862940438,26.329221725463867,207662800
2015-02-04,26.295930379029553,26.741963089882017,26.25376758602479,26.531150817871094,280598800
2015-02-05,26.738337501467665,26.78512329175272,26.56679583596891,26.720516204833984,168984800
2015-02-06,26.73833631965643,26.78957700691149,26.38856810572445,26.49550437927246,174826400
2015-02-09,26.410850015587748,26.698237770325253,26.384115519933175,26.671504974365234,155559200
2015-02-10,26.77175571561299,27.212865534998993,26.7695291157995,27.183902740478516,248034000
2015-02-11,27.350993020810314,27.829975494842714,27.290842523929378,27.821063995361328,294247200
2015-02-12,28.083948073217112,28.400300364797214,27.974785175957063,28.17306137084961,297898000
